Periode,Harga
1,27600
2,27250
3,26550
4,25950
5,25400
6,25500
7,26000
8,25800
9,25750
10,27400
11,25350
12,25050
13,25600
14,25050
15,26050
16,26300
17,26100
18,26050
19,26200
20,26000
21,29150
22,28450
23,26500
24,26400
25,26000
26,25750
27,25350
28,25350
29,26700
30,26150
31,26150
32,25350
33,26400
34,25150
35,24600
36,24000
37,23700
38,23350
39,23300
40,23250
41,23150
42,24000
43,23050
44,28550
45,25000
46,30050
47,25250
48,29800
49,24850
50,30550
51,27650
52,29950
53,30050
54,28850
55,27550
56,26400
57,23850
58,24500
59,24050
60,24200
61,24200
62,24900
63,25100
64,25250
65,25600
66,25700
67,25900
68,26150
69,27700
70,39350
71,27500
72,28500
73,28350
74,28800
75,29300
76,29350
77,29300
78,29100
79,29150
80,29350
81,29300
82,29450
83,29350
84,29150
85,30900
86,31050
87,31450
88,30850
89,30450
90,30050
91,28800
92,28100
93,28250
94,28400
95,28350
96,28350
97,28550
98,28900
99,29150
100,29950
101,30700
102,31250
103,31200
104,31100
105,30700
106,30500
107,30250
108,30050
109,29750
110,29450
111,29250
112,28900
113,28550
114,28550
115,29250
116,30100
117,30200
118,30000
119,29850
120,29400
121,30100
122,29850
123,30400
124,31400
125,31850
126,31950
127,31900
128,31700
129,31600
130,31800
131,31750
132,31850
133,32000
134,32050
135,32000
136,31850
137,31650
138,31150
139,30600
