Periode;Data;dtrima
1;3980;4612
2;4039;4671
3;3878;4510
4;3809;4441
5;3829;4461
6;3798;4430
7;3730;4362
8;3705;4337
9;3701;4333
10;3782;4414
11;3827;4459
12;3759;4391
13;3747;4379
14;3666;4298
15;3617;4249
16;3638;4270
17;3570;4202
18;3598;4230
19;3481;4113
20;3541;4173
21;3616;4248
22;3489;4121
23;3531;4163
24;3703;4335
25;3688;4320
26;3553;4185
27;3586;4218
28;3630;4262
29;3629;4261
30;3604;4236
31;3658;4290
32;3590;4222
33;3524;4156
34;3923;4555
35;3934;4566
36;3781;4413
37;3749;4381
38;3778;4410
39;3783;4415
40;3696;4328
41;3745;4377
42;3652;4284
43;3649;4281
44;3584;4216
45;3458;4090
46;3404;4036
47;3344;3976
48;3410;4042
49;3316;3948
50;3399;4031
51;3415;4047
52;3460;4092
53;3542;4174
54;3364;3996
55;3633;4265
56;3550;4182
57;3648;4280
58;3584;4216
59;3461;4093
60;3487;4119
61;3421;4053
62;3457;4089
63;3317;3949
64;3254;3886
65;3279;3911
66;3136;3768
67;3127;3759
68;3127;3759
69;3096;3728
70;3128;3760
71;3155;3787
72;3169;3801
73;3114;3746
74;3112;3744
75;3084;3716
76;3027;3659
77;2989;3621
78;2993;3625
79;3096;3728
80;2980;3612
81;3062;3694
82;3011;3643
83;2941;3573
84;2774;3406
85;2697;3329
86;2670;3302
87;2488;3120
88;2472;3104
89;2322;2954
90;2343;2975
91;2525;3157
92;2554;3186
93;2729;3361
94;2605;3237
95;2678;3310
96;2713;3345
97;2503;3135
98;2382;3014
99;2554;3186
100;2499;3131
101;2550;3182
102;2472;3104
103;2448;3080
104;2477;3109
105;2477;3109
106;2431;3063
107;2532;3164
108;2425;3057
109;2567;3199
110;2684;3316
111;2626;3258
112;2643;3275
113;2621;3253
114;2550;3182
115;2446;3078
116;2519;3151
117;2616;3248
118;2463;3095
119;2484;3116
120;2355;2987
121;2356;2988
122;2302;2934
123;2272;2904
124;2324;2956
125;2269;2901
126;2299;2931
127;2284;2916
128;2279;2911
129;2326;2958
130;2351;2983
131;2335;2967
132;2360;2992
133;2269;2901
134;2275;2907
135;2226;2858
136;2208;2840
137;2191;2823
138;2149;2781
139;2126;2758
140;2152;2784
141;2187;2819
142;2141;2773
143;2089;2721
144;2107;2739
145;2031;2663
146;1984;2616
147;1983;2615
148;1981;2613
149;2016;2648
150;1951;2583
151;1951;2583
